Star1,Star2,Avg_Gross
Robin Williams,Robert Sean Leonard,95860116.0
Rod Steiger,James Coburn,696690.0
Rod Taylor,Tippi Hedren,11403529.0
Roland Møller,Louis Hofmann,435266.0
Rolf Lassgård,Bahar Pars,3358518.0
Roman Griffin Davis,Thomasin McKenzie,349555.0
Roman Polanski,Isabelle Adjani,1924733.0
Ron Livingston,Jennifer Aniston,10824921.0
Ronnie Del Carmen,Amy Poehler,356461711.0
Rosario Flores,Javier Cámara,9284265.0
Roy Scheider,Jessica Lange,37823676.0
Roy Scheider,Robert Shaw,260000000.0
Rufus Sewell,Kiefer Sutherland,14378331.0
Russell Crowe,Al Pacino,28965197.0
Russell Crowe,Christian Bale,53606916.0
Russell Crowe,Ed Harris,170742341.0
Russell Crowe,Joaquin Phoenix,187705427.0
Russell Crowe,Renée Zellweger,61649911.0
Ryan Gosling,Carey Mulligan,35061555.0
Ryan Gosling,Emma Stone,151101803.0
Ryan O'Neal,Tatum O'Neal,30933743.0
Ryan Reynolds,Josh Brolin,324591735.0
Ryan Reynolds,Morena Baccarin,363070709.0
Ryûnosuke Kamiki,Mone Kamishiraishi,5017246.0
Sam Neill,Julian Dennison,5202582.0
Sam Neill,Laura Dern,402453882.0
Sam Riley,Samantha Morton,871577.0
Sam Rockwell,Kevin Spacey,5009677.0
Sam Shepard,Scott Glenn,21500000.0
Sam Waterston,Haing S. Ngor,34700291.0
Sam Worthington,Zoe Saldana,760507625.0
Samuel Armstrong,Ford Beebe Jr.,76408097.0
Samuel L. Jackson,Kurt Russell,54117416.0
Sandra Bullock,George Clooney,274092705.0
Saoirse Ronan,Emma Watson,108101214.0
Scarlett Johansson,Jonathan Rhys Meyers,23089926.0
Sean Astin,Josh Brolin,61503218.0
Sean Connery,Christian Slater,7153487.0
Sean Connery,Gert Fröbe,51081062.0
Sean Penn,Benicio Del Toro,16290476.0
Sean Penn,Michelle Pfeiffer,40311852.0
Sean Penn,Tim Robbins,90135191.0
Seung-Yun Lee,Hee Jae,238507.0
Shah Rukh Khan,Kajol,4018695.0
Shah Rukh Khan,Preity Zinta,2921738.0
Shah Rukh Khan,Vidya Malvade,1113541.0
Shahab Hosseini,Taraneh Alidoosti,2402067.0
Shailene Woodley,Ansel Elgort,124872350.0
Sharlto Copley,David James,115646235.0
Shôgo Furuya,Tôru Emori,128985.0
Sidney Poitier,Rod Steiger,24379978.0
Sigourney Weaver,Michael Biehn,85160248.0
Sigourney Weaver,Tom Skerritt,78900000.0
Simon Pegg,Nick Frost,18590069.5
Spencer Tracy,Sidney Poitier,56700000.0
Stephen Chow,Wah Yuen,17108591.0
Steve Martin,John Candy,49530280.0
Steve McQueen,Dustin Hoffman,53267000.0
Steve McQueen,James Garner,12100000.0
Sumi Shimamoto,Mahito Tsujimura,495770.0
Suraj Sharma,Irrfan Khan,124987023.0
Sylvester Stallone,Brian Dennehy,47212904.0
Sylvester Stallone,Talia Shire,117235247.0
Tahar Rahim,Niels Arestrup,2084637.0
Taika Waititi,Jemaine Clement,3333000.0
Taraji P. Henson,Octavia Spencer,169607287.0
Tatsuya Nakadai,Akira Terao,4135750.0
Tensai Okamura,Hiroyuki Okiura,1000045.0
Terry Jones,Graham Chapman,1229197.0
Thierry Lhermitte,Jacques Villeret,4065116.0
Thomas Mann,RJ Cyler,6743776.0
Thomas Turgoose,Stephen Graham,327919.0
Tim Robbins,Morgan Freeman,28341469.0
Tim Roth,Pruitt Taylor Vince,259127.0
Timothy Bottoms,Jeff Bridges,29133000.0
Timothy Spall,Brenda Blethyn,13417292.0
Tom Cruise,Colin Farrell,132072926.0
Tom Cruise,Emily Blunt,100206256.0
Tom Cruise,Henry Cavill,220159104.0
Tom Cruise,Jack Nicholson,141340178.0
Tom Cruise,Jason Robards,22455976.0
Tom Cruise,Ken Watanabe,111110575.0
Tom Guiry,Mike Vitar,32416586.0
Tom Hanks,Barkhad Abdi,107100855.0
Tom Hanks,Bill Paxton,173837933.0
Tom Hanks,Denzel Washington,77324422.0
Tom Hanks,Helen Hunt,233632142.0
Tom Hanks,Mark Rylance,72313754.0
Tom Hanks,Matt Damon,216540909.0
Tom Hanks,Michael Clarke Duncan,136801374.0
Tom Hanks,Robin Wright,330252182.0
Tom Hanks,Tim Allen,346946373.6666667
Tom Hanks,Tyler Hoechlin,104454762.0
Tom Hardy,Charlize Theron,154058340.0
Tom Hardy,Nick Nolte,13657115.0
Tom Waits,John Lurie,1436000.0
Toni Servillo,Carlo Verdone,2852400.0
Tony Chiu-Wai Leung,Maggie Cheung,2734044.0
Topol,Norma Crane,80500000.0
Toshirô Mifune,Machiko Kyô,96568.0
Toshirô Mifune,Takashi Shimura,269061.0
Trey Parker,Matt Stone,52037603.0
Ulrich Mühe,Martina Gedeck,11286112.0
Ulrich Thomsen,Henning Moritzen,1647780.0
Ulrich Thomsen,Mads Mikkelsen,1305.0
Uma Thurman,David Carradine,68153614.0
Valerie Faris,Steve Carell,59891098.0
Veerle Baetens,Johan Heldenbergh,175058.0
Vicky Jenson,Mike Myers,267665011.0
Viggo Mortensen,George MacKay,5875006.0
Viggo Mortensen,Mahershala Ali,85080171.0
Vijay Varma,Nakul Roshan Sahdev,5566534.0
Vivien Leigh,Marlon Brando,8000000.0
Vladimir Garin,Ivan Dobronravov,502028.0
Wagner Moura,André Ramiro,8060.0
Wagner Moura,Irandhir Santos,100119.0
Wil Wheaton,River Phoenix,52287414.0
Will Smith,Rosario Dawson,69951824.0
Will Smith,Thandie Newton,163566459.0
Willem Dafoe,Sean Patrick Flanery,25812.0
William Holden,Alec Guinness,44908000.0
William Holden,Ernest Borgnine,12064472.0
William Keighley,Errol Flynn,3981000.0
William Shatner,Leonard Nimoy,78912963.0
Winona Ryder,Gena Rowlands,2015810.0
Woody Allen,Diane Keaton,42450000.0
Yul Brynner,Steve McQueen,4905000.0
Yun-Fat Chow,Michelle Yeoh,128078872.0
Yôji Matsuda,Yuriko Ishida,2375308.0
Zach Galifianakis,Bradley Cooper,277322503.0
Zain Al Rafeea,Yordanos Shiferaw,1661096.0
Zbigniew Zamachowski,Julie Delpy,1464625.0
Zooey Deschanel,Joseph Gordon-Levitt,32391374.0
Éric Toledano,François Cluzet,13182281.0
