Star1,Star2,Avg_Gross
Christian Bale,Justin Theroux,15070285.0
Christian Bale,Michael Caine,206852432.0
Christian Bale,Steve Carell,70259870.0
Christian Bale,Tom Hardy,448139099.0
Christian Friedel,Ernst Jacobi,2222647.0
Christian Slater,Patricia Arquette,12281500.0
Cillian Murphy,Naomie Harris,45064915.0
Clark Gable,Claudette Colbert,4360000.0
Cleavon Little,Gene Wilder,119500000.0
Clint Eastwood,Andrew Robinson,35900000.0
Clint Eastwood,Bee Vang,148095302.0
Clint Eastwood,Eli Wallach,6100000.0
Clint Eastwood,Gene Hackman,101157447.0
Clint Eastwood,Gian Maria Volontè,14500000.0
Clint Eastwood,Lee Van Cleef,15000000.0
Clint Eastwood,Meryl Streep,71516617.0
Clint Eastwood,Patrick McGoohan,43000000.0
Clint Eastwood,Sondra Locke,31800000.0
Clint Eastwood,Telly Savalas,1378435.0
Colin Farrell,Brendan Gleeson,7757130.0
Colin Firth,Geoffrey Rush,138797449.0
Colin Firth,Taron Egerton,128261724.0
Craig T. Nelson,Holly Hunter,608581744.0
Craig T. Nelson,Samuel L. Jackson,261441092.0
Cuba Gooding Jr.,Laurence Fishburne,57504069.0
Daisy Ridley,John Boyega,936662225.0
Dakota Fanning,Teri Hatcher,75286229.0
Damian Chapa,Jesse Borrego,4496583.0
Daniel Brühl,Chris Hemsworth,26947624.0
Daniel Brühl,Katrin Saß,4064200.0
Daniel Craig,Chris Evans,165359751.0
Daniel Craig,Eva Green,167445960.0
Daniel Craig,Javier Bardem,304360277.0
Daniel Craig,Rooney Mara,102515793.0
Daniel Day-Lewis,Brenda Fricker,14743391.0
Daniel Day-Lewis,Madeleine Stowe,75505856.0
Daniel Day-Lewis,Paul Dano,40222514.0
Daniel Day-Lewis,Pete Postlethwaite,25010410.0
Daniel Kaluuya,Allison Williams,176040665.0
Daniel Radcliffe,Emma Watson,303665096.8
Daniel Radcliffe,Rupert Grint,317575550.0
Danny Aiello,Ossie Davis,27545445.0
Danny Elfman,Chris Sarandon,75082668.0
